shape_id,method,mask_type,lam,k,iou,sdf_error,solve_time_s
monitor_0458,pca_completion,block,0.0,64,0.7832167832167832,0.02866508,0.13648449999163859
monitor_0459,pca_completion,block,0.0,64,0.6655518394648829,0.008679869,0.13810233399271965
monitor_0460,pca_completion,block,0.0,64,1.0,0.0066846157,0.1207063749898225
monitor_0461,pca_completion,block,0.0,64,1.0,0.0068563325,0.12639499999932013
monitor_0462,pca_completion,block,0.0,64,0.6878777106292214,0.018053744,0.126548542000819
monitor_0463,pca_completion,block,0.0,64,0.3834757834757835,0.018939931,0.1291490420117043
monitor_0464,pca_completion,block,0.0,64,0.0,0.009384711,0.13575674997991882
monitor_0465,pca_completion,block,0.0,64,1.0,0.025754504,0.12743675001547672
monitor_0466,pca_completion,block,0.0,64,0.38091822094691535,0.04350459,0.13035133300581947
monitor_0467,pca_completion,block,0.0,64,0.12126865671641791,0.0076157856,0.12583775000530295
monitor_0468,pca_completion,block,0.0,64,0.5815450643776824,0.028668951,0.12479087500832975
monitor_0469,pca_completion,block,0.0,64,0.31984435797665367,0.030118586,0.12967645798926242
monitor_0470,pca_completion,block,0.0,64,1.0,0.0090333745,0.12557395800831728
monitor_0471,pca_completion,block,0.0,64,0.5832187070151307,0.013434141,0.1326006249873899
monitor_0472,pca_completion,block,0.0,64,0.8285590277777778,0.03180188,0.12084575000335462
monitor_0473,pca_completion,block,0.0,64,1.0,0.01734574,0.12739162499201484
monitor_0474,pca_completion,block,0.0,64,0.6453846153846153,0.013676274,0.11777358301333152
monitor_0475,pca_completion,block,0.0,64,0.0,0.009072371,0.13719704101094976
monitor_0476,pca_completion,block,0.0,64,0.1955193482688391,0.023543045,0.11453058401821181
monitor_0477,pca_completion,block,0.0,64,0.4626865671641791,0.007638316,0.12669666699366644
monitor_0478,pca_completion,block,0.0,64,1.0,0.007127522,0.1191664999932982
monitor_0479,pca_completion,block,0.0,64,0.6661863592699327,0.017216507,0.11883845800184645
monitor_0480,pca_completion,block,0.0,64,0.05069124423963134,0.0092094615,0.13222512500942685
monitor_0396,pca_completion,block,1.0,64,0.9030470914127424,0.014151173,0.01769891698495485
monitor_0397,pca_completion,block,1.0,64,0.7943078913324709,0.0113217225,0.018127832998288795
monitor_0398,pca_completion,block,1.0,64,0.8288707799767171,0.0100796055,0.017290459014475346
monitor_0399,pca_completion,block,1.0,64,1.0,0.012294883,0.018208792025689036
monitor_0400,pca_completion,block,1.0,64,0.7209944751381215,0.0150474645,0.01778629099135287
monitor_0401,pca_completion,block,1.0,64,0.7725245316681534,0.0065135914,0.017596707999473438
monitor_0402,pca_completion,block,1.0,64,0.4562607204116638,0.022838758,0.017976083006942645
monitor_0403,pca_completion,block,1.0,64,0.7932674716428832,0.01748679,0.017584375018486753
monitor_0404,pca_completion,block,1.0,64,0.3134057971014493,0.012837767,0.01747387499199249
monitor_0405,pca_completion,block,1.0,64,0.7847730600292826,0.03418407,0.018489790993044153
monitor_0406,pca_completion,block,1.0,64,1.0,0.015603201,0.01794404099928215
monitor_0407,pca_completion,block,1.0,64,1.0,0.003998467,0.018800290999934077
monitor_0408,pca_completion,block,1.0,64,0.8490338164251208,0.013851942,0.01805500002228655
monitor_0409,pca_completion,block,1.0,64,0.5275482093663911,0.018921275,0.017676666990155354
monitor_0410,pca_completion,block,1.0,64,1.0,0.00853476,0.018963082984555513
monitor_0411,pca_completion,block,1.0,64,0.8288939051918736,0.014330768,0.017574749974301085
monitor_0412,pca_completion,block,1.0,64,0.08536585365853659,0.0422569,0.018402290996164083
monitor_0413,pca_completion,block,1.0,64,0.508833922261484,0.017899804,0.01780804098234512
monitor_0414,pca_completion,block,1.0,64,0.93234100135318,0.010300173,0.01753133299644105
monitor_0415,pca_completion,block,1.0,64,0.39386503067484663,0.017701585,0.018015166016994044
monitor_0416,pca_completion,block,1.0,64,0.13860716700473294,0.019885309,0.01735320800798945
monitor_0417,pca_completion,block,1.0,64,0.3389830508474576,0.01189806,0.01887387500028126
monitor_0418,pca_completion,block,1.0,64,0.7194805194805195,0.015672626,0.018040833005215973
monitor_0419,pca_completion,block,1.0,64,0.7461139896373057,0.007212493,0.019200374983483925
monitor_0420,pca_completion,block,1.0,64,0.6071428571428571,0.009111661,0.01838954200502485
monitor_0421,pca_completion,block,1.0,64,0.6263736263736264,0.024561543,0.017966458020964637
monitor_0422,pca_completion,block,1.0,64,0.6210526315789474,0.047323663,0.017544000002089888
monitor_0423,pca_completion,block,1.0,64,1.0,0.019038526,0.018600375013193116
monitor_0424,pca_completion,block,1.0,64,0.8590243902439024,0.02337835,0.01810183300403878
monitor_0425,pca_completion,block,1.0,64,0.8350810295519543,0.00660671,0.01798958401195705
monitor_0426,pca_completion,block,1.0,64,0.0,0.0055833077,0.019060916994931176
monitor_0427,pca_completion,block,1.0,64,0.1,0.013910817,0.01871700002811849
monitor_0428,pca_completion,block,1.0,64,0.21380090497737556,0.02153003,0.017888582980958745
monitor_0429,pca_completion,block,1.0,64,0.7484545886828341,0.009748187,0.017413666006177664
monitor_0430,pca_completion,block,1.0,64,1.0,0.0074179913,0.01813329101423733
monitor_0431,pca_completion,block,1.0,64,0.176056338028169,0.00800424,0.019556791987270117
monitor_0432,pca_completion,block,1.0,64,0.11510791366906475,0.018385233,0.018494625022867694
monitor_0433,pca_completion,block,1.0,64,0.36486486486486486,0.03717636,0.019185417011613026
monitor_0434,pca_completion,block,1.0,64,0.8783359497645212,0.016502481,0.018625333003001288
monitor_0435,pca_completion,block,1.0,64,0.5704626334519572,0.016092438,0.017115166992880404
monitor_0436,pca_completion,block,1.0,64,0.20580474934036938,0.02283907,0.018402499990770593
monitor_0437,pca_completion,block,1.0,64,0.7819383259911894,0.020492718,0.018114500009687617
monitor_0438,pca_completion,block,1.0,64,1.0,0.0058122333,0.019195875007426366
monitor_0439,pca_completion,block,1.0,64,0.16122004357298475,0.015639082,0.017939209006726742
monitor_0440,pca_completion,block,1.0,64,0.8987129266927812,0.015192895,0.017312291980488226
monitor_0441,pca_completion,block,1.0,64,0.998191830360812,0.025211636,0.017385874991305172
